Year,Month,YearMonth,AAPL US Equity,AMZN US Equity,BRK/B US Equity,CMCSA US Equity,CVX US Equity,DD US Equity,DOW US Equity,DUK US Equity,GE US Equity,GOOGL US Equity,JNJ US Equity,JPM US Equity,MMM US Equity,NEE US Equity,PFE US Equity,PG US Equity,SPG US Equity,VZ US Equity,WMT US Equity,XOM US Equity
2007,5,200705,78.69419091,77.41323182,50.34760455,50.85935909,66.44072273,58.36785455,52.93527727,46.21589545,66.4289,54.22226364,52.73403182,60.10908636,77.58088182,60.38535,62.40806818,50.04149545,42.51717273,75.15355,46.08567273,65.85134091
2007,6,200706,65.39729524,61.78849048,45.62482857,53.96428095,56.5222381,51.20639048,48.71230952,34.78177619,57.9727,68.79998571,43.0422619,40.19886667,56.77261905,38.23999524,40.11705714,44.03651429,37.69415238,54.39806667,55.25912857,55.99602857
2007,7,200707,67.25936667,59.64661429,53.51197143,53.75933333,64.7514619,48.50794762,52.5041,37.84218095,59.73746667,60.29491905,47.85722857,39.3080619,61.35150476,43.63398571,37.0903619,51.56933333,38.84857619,50.93042857,45.96577143,61.4963619
2007,8,200708,47.9747,52.66623043,62.4271913,38.71586957,46.27260435,43.96541739,41.23058261,51.42894783,48.16375652,45.46675217,49.50144783,42.84707391,46.99492174,52.08914783,43.73610435,57.7474913,48.54595217,49.28576087,39.01423043,46.16231304
2007,9,200709,59.24940526,68.13568421,57.89577368,42.04681579,62.45932632,52.01254211,51.43653684,54.25343684,58.74206842,63.83818947,64.42027368,51.69935263,58.28078947,56.04411579,49.81406316,69.42322632,56.49488421,57.36052105,44.43625263,61.09771579
2007,10,200710,72.87273182,57.09920909,67.91260909,38.12057273,51.87445455,47.87515455,55.77636364,52.23759091,52.38113182,78.87935455,59.00166818,52.16451818,49.94938636,57.82970909,50.16230455,66.88230455,54.39655909,60.21642273,55.83360909,57.15231364
2007,11,200711,54.915205,44.560495,68.43696,31.54333,43.94675,39.870565,41.21167,57.455895,38.553495,59.53371,59.697965,42.138915,35.63729,60.940075,39.19054,56.693065,43.60882,42.156355,52.392515,43.962265
2007,12,200712,60.585315,57.40789,59.24165,39.007965,57.399835,45.850535,48.23494,60.01185,42.975055,55.448945,55.800215,51.487095,52.966515,55.165815,48.316225,57.2139,46.68755,54.187885,60.129425,57.04951
2008,1,200801,35.12748571,38.98418095,46.79240476,41.20323333,41.99083333,47.23848571,35.72492857,42.01696667,38.4923619,35.1393,41.74938571,46.29925238,33.28628095,44.51985238,48.56743333,31.11256667,42.76924286,38.34960952,51.8138381,43.17534286
2008,2,200802,31.55914,39.96325,55.64137,57.06721,47.16896,55.397365,53.107595,42.05781,43.861085,32.22461,40.35985,49.410165,51.35068,45.78826,45.44042,42.05761,49.90089,37.396505,55.889475,48.75937
2008,3,200803,51.001035,46.09457,40.091115,53.340335,50.219625,51.359665,44.73756,43.72021,52.75829,34.916485,51.152295,45.330795,46.731305,44.161965,34.37934,54.54636,53.50473,43.22371,55.81301,47.859625
2008,4,200804,65.51496818,56.90876818,44.04913636,53.55939091,63.62445455,59.30631364,58.06875455,53.20801364,45.32429091,57.77735,62.84454091,56.08627273,51.22150455,60.63013182,43.08441364,49.88653182,60.21202273,53.01266818,68.95488182,61.60132727
2008,5,200805,66.35616667,51.9595619,45.2879619,61.66495238,67.56361429,48.00756667,61.82391429,53.22610476,37.26304286,61.92604286,50.73894286,49.24236667,45.28805714,51.40869524,41.3300619,39.70725238,51.84279048,57.19441429,55.15069524,50.10562857
2008,6,200806,48.82611905,51.77925714,44.64547619,42.5525381,51.6709381,38.78095714,35.89328095,42.53077143,28.20573333,48.03035238,44.77561905,35.10040952,38.53146667,49.37618571,27.06127619,42.02086667,44.38214286,43.65490476,53.27734286,44.16950952
2008,7,200807,44.36073182,43.49233636,34.31545,43.37647273,35.94580909,40.76423182,33.75535455,43.21724091,45.83495,40.57568636,59.23711364,45.59961818,39.43472727,47.81060909,50.84596818,50.18224091,44.23097727,43.18310909,49.97575909,41.49002727
2008,8,200808,53.12296667,57.70389524,48.23444762,59.3893619,45.07260476,51.69880952,48.97430952,52.43957619,52.04214762,44.55891429,65.52667143,49.32224762,52.33208095,40.30405714,57.39807143,63.9561381,52.65419048,48.03827143,53.25001905,43.30526667
2008,9,200809,30.8870381,44.71449524,60.47704762,46.81066667,46.02492857,49.76565238,51.8227619,51.17262857,41.87342381,36.73865714,48.53943333,53.6665381,45.71044762,36.00334286,44.12729524,53.0553,50.78707143,43.84681905,54.5741,46.02120952
2008,10,200810,35.70350909,38.18666364,45.65908182,38.47155,40.99515,33.58183636,34.94381818,43.05598182,37.36286818,39.07812273,39.54042273,48.13240455,39.59956364,37.44894091,45.97988636,42.10123182,38.40086818,40.20224091,42.09723182,46.04240909
2008,11,200811,42.90697222,38.16754444,38.21796111,48.41666667,51.30999444,37.08570556,37.45421111,46.33199444,38.64226667,38.09506111,44.77837778,42.45805,50.96075556,51.01533333,45.65878889,49.51443333,41.29757222,50.99625556,48.09494444,51.81532778
2008,12,200812,46.28306818,53.28245909,46.02667727,50.22570909,49.90059091,44.58185455,41.88679091,44.98570455,47.82625,48.18503182,48.04011364,47.34578182,43.67571364,53.05603182,52.93135909,46.41251818,48.26300455,56.10266818,52.11135,52.35405455
2009,1,200901,48.058915,52.478625,43.26501,47.81218,47.98795,46.034935,32.27869,52.082705,38.99139,53.722535,46.56332,41.519585,44.821185,54.00465,48.63639,41.376715,45.187555,44.56931,36.972295,50.69816
